Timestamp,Date,Transaction Type,Coin In,# Coins In,Coin Out,# Coins Out,USD VALUE,Gas/Tx Fee,Gas Coin,GAS USD$,NOTES,COST BASIS,,,
7/29/2024 15:40:22,9/18/2022,TRADE,BTC,0.031426725,USDC,1000,"$1,000.00",0.0310775,AVAX,0.56,,"$31,820.05",,,
7/29/2024 15:48:05,7/10/2023,TRADE,USDC,15837.46,ETH,9,"$15,837.46",0.0428978,AVAX,0.58,,"$1,859.63",,,
7/29/2024 15:49:47,7/9/2023,TRADE,USDC,9996.12,BTC,0,"$9,996.12",0.0103705,AVAX,0.14,,"$31,888.60",,,
7/29/2024 15:51:53,7/9/2023,TRADE,BTC,0.33203414,USDC,10000,"$10,000.00",0.0001831,ETH,0.35,,"$30,117.38",,,
7/29/2024 15:52:30,7/9/2023,TRADE,ETH,8.080269141,USDC,15000,"$15,000.00",0.0000289,ETH,0.05,,"$1,856.37",,,
7/29/2024 15:53:44,8/6/2023,TRADE,ETH,0.56,USDC,1000,"$1,000.00",0.0001417,ETH,0.26,,"$1,785.71",,,
7/29/2024 15:54:15,8/6/2023,TRADE,BTC,0.03443602,USDC,1000,"$1,000.00",0.0001316,ETH,0.24,,"$29,039.36",,,
7/29/2024 15:54:48,9/11/2023,TRADE,ETH,6.458894531,USDC,10000,"$10,000.00",0.0000871,ETH,0.2,,"$1,548.25",,,
7/29/2024 15:55:54,9/11/2023,TRADE,BTC,0.11929718,USDC,3000,"$3,000.00",0.0001151,ETH,0.26,,"$25,147.28",,,
7/29/2024 15:56:50,1/17/2024,TRADE,LINK,322.34,USDC,5000,"$5,000.00",0.0002809,ETH,0.71,,$15.51,,,
7/29/2024 15:58:48,1/17/2024,TRADE,BTC,0.07918269,USDC,3373,"$3,373.02",0.0002324,ETH,0.59,,"$42,597.98",,,
7/29/2024 16:04:37,1/17/2024,INTEREST,USDC,298.95,,,$298.95,,,,, ,,,
7/29/2024 16:05:42,2/15/2024,TRADE,USDC,29351.47146,BTC,1,"$29,351.47",0.0003139,ETH,0.88,,"$51,952.24",,,
7/29/2024 16:06:33,2/15/2024,TRADE,USDC,42776.5653,ETH,15,"$42,776.57",0.0003922,ETH,1.11,,"$2,816.52",,,
7/29/2024 16:07:17,2/15/2024,TRADE,USDC,6429.479176,LINK,322,"$6,429.48",0.0003748,ETH,1.06,,$19.95,,,
7/29/2024 16:08:00,2/15/2024,INTEREST,ETH,0.12,,,,,,,,$0.00,,,
7/29/2024 16:08:25,2/24/2024,INTEREST,USDC,190.71,,,$190.71,,,,, ,,,
7/29/2024 16:08:54,4/2/2024,INTEREST,USDC,1014.57,,,"$1,014.57",,,,, ,,,
7/29/2024 16:09:32,4/13/2024,TRADE,ETH,3.427051113,USDC,10000,"$10,000.00",0.0004361,ETH,1.29,,"$2,917.96",,,
7/29/2024 16:10:09,4/13/2024,TRADE,BTC,0.15958528,USDC,10000,"$10,000.00",0.0003894,ETH,1.29,,"$62,662.42",,,
7/29/2024 16:10:47,4/15/2023,TRADE,ETH,2.837968746,USDC,10000,"$10,000.00",0.0000816,ETH,0.25,,"$3,523.65",,,
7/29/2024 16:11:25,4/15/2024,TRADE,BTC,0.15967051,USDC,10000,"$10,000.00",0.0000892,ETH,0.27,,"$62,628.97",,,
7/29/2024 16:13:40,6/3/2024,TRADE,ETH,2.649458018,USDC,10000,"$10,000.00",0.0000596,ETH,0.2,,"$3,774.36",,,
7/29/2024 16:15:00,6/3/2024,TRADE,BTC,0.14415321,USDC,10000,"$10,000.00",0.0001085,ETH,0.36,,"$69,370.64",,,
7/29/2024 16:15:54,7/24/2024,TRADE,ETH,3.101696951,USDC,10000,"$10,000.00",0.0000645,ETH,0.22,,"$3,224.04",,,
7/29/2024 16:16:28,7/24/2024,TRADE,BTC,0.15078786,USDC,10000,"$10,000.00",0.0000477,ETH,0.16,,"$66,318.34",,,
7/29/2024 16:17:53,7/24/2024,INTEREST,USDC,233.55323,,,$233.55,,,,, ,,,
12/5/2024 0:24:26,12/4/2024,RECONCILE,ETH,6.18994,,,,,,,,,,,
12/5/2024 0:29:27,12/4/2024,RECONCILE,BTC,,BTC,0.16,,,,,,,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
,,,,,,,,,,,, ,,,
